utc_timestamp,cet_cest_timestamp,interpolated,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine
2014-12-11T17:00:00Z,2014-12-11T18:00:00+0100,,,,,,,,,,
2014-12-11T18:00:00Z,2014-12-11T19:00:00+0100,,,,,,,,,,
2014-12-11T19:00:00Z,2014-12-11T20:00:00+0100,,,,,,,,,,
2014-12-11T20:00:00Z,2014-12-11T21:00:00+0100,,,,,,,,,,
2014-12-11T21:00:00Z,2014-12-11T22:00:00+0100,,,,,,,,,,
2014-12-11T22:00:00Z,2014-12-11T23:00:00+0100,,,,,,,,,,
2014-12-11T23:00:00Z,2014-12-12T00:00:00+0100,DE_KN_residential3_washing_machine,,,,,,,,,
2014-12-12T00:00:00Z,2014-12-12T01:00:00+0100,,,,,,,,,,
2014-12-12T01:00:00Z,2014-12-12T02:00:00+0100,,,,,,,,,,
2014-12-12T02:00:00Z,2014-12-12T03:00:00+0100,,,,,,,,,,
2014-12-12T03:00:00Z,2014-12-12T04:00:00+0100,,,,,,,,,,
2014-12-12T04:00:00Z,2014-12-12T05:00:00+0100,,,,,,,,,,
2014-12-12T05:00:00Z,2014-12-12T06:00:00+0100,,,,,,,,,,
2014-12-12T06:00:00Z,2014-12-12T07:00:00+0100,,,,,,,,,,
2014-12-12T07:00:00Z,2014-12-12T08:00:00+0100,,,,,,,,,,
2014-12-12T08:00:00Z,2014-12-12T09:00:00+0100,,,,,,,,,,
2014-12-12T09:00:00Z,2014-12-12T10:00:00+0100,,,,,,,,,,
2014-12-12T10:00:00Z,2014-12-12T11:00:00+0100,,,,,,,,,,
2014-12-12T11:00:00Z,2014-12-12T12:00:00+0100,,,,,,,,,,
2014-12-12T12:00:00Z,2014-12-12T13:00:00+0100,,,,,,,,,,
2014-12-12T13:00:00Z,2014-12-12T14:00:00+0100,,,,,,,,,,
2014-12-12T14:00:00Z,2014-12-12T15:00:00+0100,,,,,,,,,,
2014-12-12T15:00:00Z,2014-12-12T16:00:00+0100,,,,,,,,,,
2014-12-12T16:00:00Z,2014-12-12T17:00:00+0100,,,,,,,,,,
2014-12-12T17:00:00Z,2014-12-12T18:00:00+0100,,,,,,,,,,
2014-12-12T18:00:00Z,2014-12-12T19:00:00+0100,,,,,,,,,,
2014-12-12T19:00:00Z,2014-12-12T20:00:00+0100,,,,,,,,,,
2014-12-12T20:00:00Z,2014-12-12T21:00:00+0100,,,,,,,,,,
2014-12-12T21:00:00Z,2014-12-12T22:00:00+0100,,,,,,,,,,
2014-12-12T22:00:00Z,2014-12-12T23:00:00+0100,,,,,,,,,,
2014-12-12T23:00:00Z,2014-12-13T00:00:00+0100,,,,,,,,,,
2014-12-13T00:00:00Z,2014-12-13T01:00:00+0100,,,,,,,,,,
2014-12-13T01:00:00Z,2014-12-13T02:00:00+0100,,,,,,,,,,
2014-12-13T02:00:00Z,2014-12-13T03:00:00+0100,,,,,,,,,,
2014-12-13T03:00:00Z,2014-12-13T04:00:00+0100,,,,,,,,,,
2014-12-13T04:00:00Z,2014-12-13T05:00:00+0100,,,,,,,,,,
2014-12-13T05:00:00Z,2014-12-13T06:00:00+0100,,,,,,,,,,
2014-12-13T06:00:00Z,2014-12-13T07:00:00+0100,,,,,,,,,,
2014-12-13T07:00:00Z,2014-12-13T08:00:00+0100,,,,,,,,,,
2014-12-13T08:00:00Z,2014-12-13T09:00:00+0100,,,,,,,,,,
2014-12-13T09:00:00Z,2014-12-13T10:00:00+0100,,,,,,,,,,
2014-12-13T10:00:00Z,2014-12-13T11:00:00+0100,,,,,,,,,,
2014-12-13T11:00:00Z,2014-12-13T12:00:00+0100,,,,,,,,,,
2014-12-13T12:00:00Z,2014-12-13T13:00:00+0100,,,,,,,,,,
2014-12-13T13:00:00Z,2014-12-13T14:00:00+0100,,,,,,,,,,
2014-12-13T14:00:00Z,2014-12-13T15:00:00+0100,,,,,,,,,,
2014-12-13T15:00:00Z,2014-12-13T16:00:00+0100,,,,,,,,,,
2014-12-13T16:00:00Z,2014-12-13T17:00:00+0100,,,,,,,,,,
2014-12-13T17:00:00Z,2014-12-13T18:00:00+0100,,,,,,,,,,
2014-12-13T18:00:00Z,2014-12-13T19:00:00+0100,,,,,,,,,,
2014-12-13T19:00:00Z,2014-12-13T20:00:00+0100,,,,,,,,,,
2014-12-13T20:00:00Z,2014-12-13T21:00:00+0100,,,,,,,,,,
2014-12-13T21:00:00Z,2014-12-13T22:00:00+0100,,,,,,,,,,
2014-12-13T22:00:00Z,2014-12-13T23:00:00+0100,,,,,,,,,,
2014-12-13T23:00:00Z,2014-12-14T00:00:00+0100,,,,,,,,,,
2014-12-14T00:00:00Z,2014-12-14T01:00:00+0100,,,,,,,,,,
2014-12-14T01:00:00Z,2014-12-14T02:00:00+0100,,,,,,,,,,
2014-12-14T02:00:00Z,2014-12-14T03:00:00+0100,,,,,,,,,,
2014-12-14T03:00:00Z,2014-12-14T04:00:00+0100,,,,,,,,,,
2014-12-14T04:00:00Z,2014-12-14T05:00:00+0100,,,,,,,,,,
2014-12-14T05:00:00Z,2014-12-14T06:00:00+0100,,,,,,,,,,
2014-12-14T06:00:00Z,2014-12-14T07:00:00+0100,,,,,,,,,,
2014-12-14T07:00:00Z,2014-12-14T08:00:00+0100,,,,,,,,,,
2014-12-14T08:00:00Z,2014-12-14T09:00:00+0100,,,,,,,,,,
2014-12-14T09:00:00Z,2014-12-14T10:00:00+0100,,,,,,,,,,
2014-12-14T10:00:00Z,2014-12-14T11:00:00+0100,,,,,,,,,,
2014-12-14T11:00:00Z,2014-12-14T12:00:00+0100,,,,,,,,,,
2014-12-14T12:00:00Z,2014-12-14T13:00:00+0100,,,,,,,,,,
2014-12-14T13:00:00Z,2014-12-14T14:00:00+0100,,,,,,,,,,
2014-12-14T14:00:00Z,2014-12-14T15:00:00+0100,,,,,,,,,,
